algo,stage,R_final_median,R_final_iqr,AUC_median,AUC_iqr,t80_median,sigma_final_median
A2C,1-1,229.16666666666666,238.58333333333331,206.1125,58.06,1440000.0,86.62659329944049
A2C,1-2,333.1666666666667,317.75,22.66,165.54500000000002,300000.0,295.86483400363755
A2C,4-1,394.0,122.5,347.8425,63.588750000000005,360000.0,0.0
A2C,8-1,212.66666666666666,47.5,216.8,32.245000000000005,170000.0,46.54030511288038
DQN,1-1,536.6666666666666,297.41666666666663,499.0475,97.68500000000006,300000.0,196.01041638987795
DQN,1-2,493.3333333333333,199.33333333333331,477.26,151.92000000000002,200000.0,391.7038422073493
DQN,4-1,673.6666666666666,227.16666666666663,694.1625,89.01125000000002,700000.0,472.4799819392705
DQN,8-1,320.6666666666667,21.16666666666663,296.48,36.77999999999997,130000.0,135.4784115643522
PPO,1-1,143.1818181818182,99.63636363636364,124.95125,25.581874999999997,1910000.0,244.38062711493907
PPO,1-2,84.72727272727273,44.18181818181819,63.345,32.09,220000.0,74.46622175065808
PPO,4-1,395.6363636363636,410.1363636363637,344.89875,28.362499999999955,660000.0,619.9485902439448
PPO,8-1,159.45454545454547,15.363636363636374,115.74,3.9324999999999903,200000.0,81.32449032900684
