algo,stage,seed,R_final,AUC,t80,sigma_final
A2C,1-1,42,130.83333333333334,121.68,1760000,86.62659329944049
A2C,1-1,123,229.16666666666666,206.1125,850000,417.5272047024801
A2C,1-1,2024,608.0,237.8,1440000,0.0
A2C,1-2,42,-78.5,-15.33,300000,136.5309488724077
A2C,1-2,123,333.1666666666667,22.66,460000,511.0985880108325
A2C,1-2,2024,557.0,315.76,180000,295.86483400363755
A2C,4-1,42,470.0,347.8425,840000,0.0
A2C,4-1,123,394.0,361.0425,360000,0.0
A2C,4-1,2024,225.0,233.865,250000,0.0
A2C,8-1,42,162.0,155.88,30000,0.0
A2C,8-1,123,212.66666666666666,220.37,170000,95.13288951076103
A2C,8-1,2024,257.0,216.8,200000,46.54030511288038
DQN,1-1,42,382.6666666666667,499.0475,1400000,196.01041638987795
DQN,1-1,123,536.6666666666666,380.1075,70000,112.1843720548158
DQN,1-1,2024,977.5,575.4775,300000,248.44365558411832
DQN,1-2,42,267.8333333333333,209.41,130000,446.8097656348468
DQN,1-2,123,493.3333333333333,477.26,400000,390.5379196271044
DQN,1-2,2024,666.5,513.25,200000,391.7038422073493
DQN,4-1,42,904.6666666666666,776.8325,60000,519.2692782490924
DQN,4-1,123,673.6666666666666,694.1625,700000,472.4799819392705
DQN,4-1,2024,450.3333333333333,598.81,1300000,27.061657993059725
DQN,8-1,42,320.6666666666667,296.48,70000,117.511985204347
DQN,8-1,123,307.0,294.0,130000,135.4784115643522
DQN,8-1,2024,349.3333333333333,367.56,180000,321.36562769945806
PPO,1-1,42,2.090909090909091,107.33625,1910000,244.38062711493907
PPO,1-1,123,143.1818181818182,158.5,1915000,126.4316559899602
PPO,1-1,2024,201.36363636363637,124.95125,960000,277.86589309495065
PPO,1-2,42,137.0,104.305,30000,0.0
PPO,1-2,123,48.63636363636363,63.345,220000,123.642446374433
PPO,1-2,2024,84.72727272727273,40.125,400000,74.46622175065808
PPO,4-1,42,1084.2727272727273,344.89875,660000,1051.5972699573815
PPO,4-1,123,264.0,359.5775,730000,410.452920564588
PPO,4-1,2024,395.6363636363636,302.8525,185000,619.9485902439448
PPO,8-1,42,139.72727272727272,109.545,195000,72.05843588240158
PPO,8-1,123,159.45454545454547,117.41,305000,81.32449032900684
PPO,8-1,2024,170.45454545454547,115.74,200000,109.49462419348599
