algo,stage,tau_median,tau_iqr,d_bar_median,deaths_median,time_median
A2C,1-1,0.0,0.0,0.18187385180649113,1.0,
A2C,1-2,0.0,0.0,0.08879363135333741,0.0,
A2C,4-1,0.0,0.0,0.11950336264873254,1.0,
A2C,8-1,0.0,0.0,0.10379669320269443,0.0,
DQN,1-1,0.0,0.0,0.2674525413349663,1.0,
DQN,1-2,0.0,0.0,0.2743417023882425,0.0,
DQN,4-1,0.0,0.0,0.14019658561821002,1.0,
DQN,8-1,0.0,0.0,0.10257195345988976,0.0,
PPO,1-1,0.0,0.0,0.0964482547458665,1.0,
PPO,1-2,0.0,0.0,0.06062461726883037,0.0,
PPO,4-1,0.0,0.0,0.1381272633212623,1.0,
PPO,8-1,0.0,0.0,0.06368646662584201,0.0,
