algo,stage,seed,tau,d_bar,deaths,time_frames
A2C,1-1,42,0.0,0.13288426209430496,1.0,
A2C,1-1,123,0.0,0.13288426209430496,1.0,
A2C,1-1,2024,0.0,0.09614206981016533,1.0,
A2C,1-2,42,0.0,0.08879363135333741,1.0,
A2C,1-2,123,0.0,0.09889773423147581,1.0,
A2C,1-2,2024,0.0,0.29975505205143904,1.0,
A2C,4-1,42,0.0,0.12312467666839111,1.0,
A2C,4-1,123,0.0,0.08329022245214693,1.0,
A2C,4-1,2024,0.0,0.08329022245214693,1.0,
A2C,8-1,42,0.0,0.06858542559706063,1.0,
A2C,8-1,123,0.0,0.13870177587262705,1.0,
A2C,8-1,2024,0.0,0.10379669320269443,1.0,
DQN,1-1,42,0.0,0.2186160440906307,1.0,
DQN,1-1,123,0.0,0.3456827924066136,1.0,
DQN,1-1,2024,0.0,0.46754439681567667,1.0,
DQN,1-2,42,0.0,0.08909981628903858,1.0,
DQN,1-2,123,0.0,0.20820575627679122,1.0,
DQN,1-2,2024,0.0,0.2777097366809553,1.0,
DQN,4-1,42,0.0,0.13916192446973616,1.0,
DQN,4-1,123,0.0,0.08768753233316089,1.0,
DQN,4-1,2024,0.0,0.33755819968960166,1.0,
DQN,8-1,42,0.0,0.16717697489283528,1.0,
DQN,8-1,123,0.0,0.10257195345988976,1.0,
DQN,8-1,2024,0.0,0.2875076546233925,1.0,
PPO,1-1,42,0.0,0.01224739742804654,1.0,
PPO,1-1,123,0.0,0.0906307409675444,1.0,
PPO,1-1,2024,0.0,0.0964482547458665,1.0,
PPO,1-2,42,0.0,0.06062461726883037,1.0,
PPO,1-2,123,0.0,0.06062461726883037,1.0,
PPO,1-2,2024,0.0,0.06001224739742804,1.0,
PPO,4-1,42,0.0,0.08329022245214693,1.0,
PPO,4-1,123,0.0,0.08329022245214693,1.0,
PPO,4-1,2024,0.0,0.08717020175892395,1.0,
PPO,8-1,42,0.0,0.06858542559706063,1.0,
PPO,8-1,123,0.0,0.06368646662584201,1.0,
PPO,8-1,2024,0.0,0.06368646662584201,1.0,
