timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
1000,0,247.0,311,0,0,33,394
1000,1,247.0,311,0,0,33,394
2000,0,-415.0,40,0,0,2005,0
2000,1,-415.0,40,0,0,2005,0
3000,0,-455.0,39,0,0,2005,0
3000,1,-455.0,39,0,0,2005,0
4000,0,-455.0,39,0,0,2005,0
4000,1,-455.0,39,0,0,2005,0
5000,0,-455.0,39,0,0,2005,0
5000,1,-455.0,39,0,0,2005,0
6000,0,-455.0,39,0,0,2005,0
6000,1,-455.0,39,0,0,2005,0
7000,0,231.0,296,0,0,40,392
7000,1,231.0,296,0,0,40,392
8000,0,231.0,296,0,0,40,392
8000,1,231.0,296,0,0,40,392
9000,0,231.0,296,0,0,40,392
9000,1,231.0,296,0,0,40,392
10000,0,231.0,296,0,0,40,392
10000,1,231.0,296,0,0,40,392
