algo,stage,seed,R_final,AUC,t80,sigma_final
DQN,1-1,42,-455.0,-364.0,,0.0
DQN,1-1,123,373.3333333333333,516.35,70000.0,187.39228016827872
DQN,1-1,2024,551.5,390.23,190000.0,479.16667246376807
DQN,1-2,42,267.8333333333333,209.41,130000.0,446.8097656348468
DQN,1-2,123,493.3333333333333,477.26,400000.0,390.5379196271044
DQN,1-2,2024,666.5,513.25,200000.0,391.7038422073493
DQN,4-1,42,762.1666666666666,624.25,60000.0,788.2911687103101
DQN,4-1,123,385.8333333333333,473.91,240000.0,75.15694689559088
DQN,4-1,2024,845.8333333333334,491.82,110000.0,637.6994328574134
DQN,8-1,42,187.0,175.375,30000.0,235.40744819709224
